"name:ca"	"regio"	"comarca"	"municipi"	"osm_type"	"osm_id"	"name"	"wikidata"	"wikipedia"	"place"	"capital"	"admin_level"	"ref:idescat"	"ref:ine"
	"Franja"	"Ribagorça"	"Benavarri"	"node"	"10997909434"	"Purroy Viejo"			"hamlet"				"22053000902"
"Biasques d'Ovarra"	"Franja"	"Ribagorça"	"Beranui"	"node"	"955148849"	"Biascas de Obarra"	"Q13048524"	"es:Biascas de Obarra"	"hamlet"				"22246000301"
"Calbera"	"Franja"	"Ribagorça"	"Beranui"	"node"	"1345243577"	"Calvera"	"Q11052029"	"ca:Calbera"	"hamlet"				"22246000401"
"Ferreries de Calbera"	"Franja"	"Ribagorça"	"Beranui"	"node"	"1346176425"	"Las Herrerias"	"Q17415710"	"es:Las Herrerías de Calvera"	"hamlet"				"22246000599"
"Morens"	"Franja"	"Ribagorça"	"Beranui"	"node"	"1455833573"	"Morens"	"Q17418588"	"es:Morens (Huesca)"	"hamlet"				"22246000601"
"Pardinella"	"Franja"	"Ribagorça"	"Beranui"	"node"	"1455833779"	"Pardinella"	"Q13049779"	"es:Pardinella"	"hamlet"				"22246000701"
"Vallabriga"	"Franja"	"Ribagorça"	"Beranui"	"node"	"1455832922"	"Ballabriga"	"Q13050390"	"ca:Vallabriga"	"hamlet"				"22246000101"
"Buira"	"Franja"	"Ribagorça"	"Bonansa"	"node"	"1455833001"	"Buira"			"hamlet"				"22067000599"
"Cirés"	"Franja"	"Ribagorça"	"Bonansa"	"node"	"1455833109"	"Cirés"			"hamlet"				"22067000299"
"Espolla"	"Franja"	"Ribagorça"	"Bonansa"	"node"	"1455833223"	"Espolla"	"Q8345419"	"an:Espolla (Ribagorza)"	"isolated_dwelling"				"22067000699"
"Gabarret"	"Franja"	"Ribagorça"	"Bonansa"	"node"	"1455833252"	"Gabarret"			"isolated_dwelling"				"22067000399"
"Torre de Buira"	"Franja"	"Ribagorça"	"Bonansa"	"node"	"1455834430"	"Torre de Buira"			"isolated_dwelling"				"22067000799"
	"Franja"	"Ribagorça"	"Bonansa"	"node"	"1455832972"	"Bibils"			"hamlet"				"22067000499"
"Sant Llorenç de l'Almúnia"	"Franja"	"Ribagorça"	"Castigaleu"	"node"	"1455834194"	"San Lorenzo"	"Q106978082"	"es:San Lorenzo (Castigaleu)"	"hamlet"				"22087000299"
"Casserres del Castell"	"Franja"	"Ribagorça"	"Estopanyà"	"node"	"1455833064"	"Caserras del Castillo"	"Q13048646"	"es:Caserras del Castillo"	"hamlet"				"22105000101"
"Seganta"	"Franja"	"Ribagorça"	"Estopanyà"	"node"	"364851141"	"Saganta"	"Q13050059"	"es:Saganta"	"hamlet"				"22105000399"
"Esdolomada"	"Franja"	"Ribagorça"	"Isàvena"	"node"	"1455833220"	"Esdolomada"	"Q13048974"	"ca:Esdolomada"	"hamlet"				"22129000199"
"la Vileta de Serradui"	"Franja"	"Ribagorça"	"Isàvena"	"node"	"1455833408"	"La Vileta de Serraduy"	"Q13049287"	"ca:La Vileta de Serradui"	"hamlet"				"22129000901"
"Merli"	"Franja"	"Ribagorça"	"Isàvena"	"node"	"1455833489"	"Merli"			"hamlet"				"22129000201"
"Mont de Roda"	"Franja"	"Ribagorça"	"Isàvena"	"node"	"1455833533"	"Mont de Roda"	"Q13049636"	"es:Mont de Roda"	"isolated_dwelling"				"22129000399"
"Riguala de Serradui"	"Franja"	"Ribagorça"	"Isàvena"	"node"	"963868169"	"Riguala de Serraduy"	"Q20617576"	"an:Riuala"	"hamlet"				"22129000501"
"Roda d'Isàvena"	"Franja"	"Ribagorça"	"Isàvena"	"node"	"319581452"	"Roda de Isábena"	"Q1020516"	"es:Roda de Isábena"	"hamlet"				"22129000601"
"Sant Esteve del Mall"	"Franja"	"Ribagorça"	"Isàvena"	"node"	"1455834133"	"San Esteban del Mall"	"Q13050089"	"ca:Sant Esteve del Mall"	"hamlet"				"22129000799"
"Serradui"	"Franja"	"Ribagorça"	"Isàvena"	"node"	"947108836"	"Serraduy"	"Q3572896"	"es:Serraduy"	"hamlet"				"22129000801"
"Segarres Altes"	"Franja"	"Ribagorça"	"Lasquarri"	"node"	"3820704374"	"Sagarras Altas"	"Q13050060"	"an:Sagarras Altas"	"hamlet"				"22142000399"
	"Franja"	"Ribagorça"	"Lasquarri"	"node"	"10997909435"	"Poblado el Aguilar"			"neighbourhood"				"22142000299"
"Abella"	"Franja"	"Ribagorça"	"Les Paüls"	"node"	"1455832855"	"Abella"			"hamlet"				"22143000101"
"Alins d'Isàvena"	"Franja"	"Ribagorça"	"Les Paüls"	"node"	"1455832877"	"Alins"	"Q13048355"	"ca:Alins d'Isàvena"	"hamlet"				"22143000201"
"Denui"	"Franja"	"Ribagorça"	"Les Paüls"	"node"	"1455833180"	"Denuy"			"hamlet"				"22143000401"
"Espés de Baix"	"Franja"	"Ribagorça"	"Les Paüls"	"node"	"1347299588"	"Espés"	"Q13048981"	"ca:Espés"	"hamlet"				"22143000501"
"Espés de Dalt"	"Franja"	"Ribagorça"	"Les Paüls"	"node"	"1347299589"	"Espés Alto"			"hamlet"				"22143000601"
"Llagunes"	"Franja"	"Ribagorça"	"Les Paüls"	"node"	"1455833456"	"Llagunes"			"isolated_dwelling"				"22143000899"
