"name:ca"	"name"	"osm_id"	"osm_type"	"alt_name"	"alt_name:ca"	"place"	"wikidata"
"Oceà Pacífic Sud"	"South Pacific Ocean"	"305640292"	"node"			"sea"	"Q12355425"
"Passatge de Drake"	"Drake Passage"	"9359806"	"relation"			"sea"	"Q143650"
"Riu de la Plata"	"Río de la Plata"	"3474227"	"relation"			"sea"	"Q35827"
"Skagerrak"	"Skagerrak"	"9048320"	"relation"			"sea"	"Q1695"
	"八代海"	"2483388226"	"node"			"sea"	"Q49560"
	"天草灘"	"6325612640"	"node"			"sea"	"Q3306188"
	"Celtic Sea / Mer Celtique"	"7367542818"	"node"			"sea"	"Q81499"
	"Laut Natuna"	"8329244549"	"node"			"sea"	"Q10829960"
	"Teluk Bone"	"8329264044"	"node"			"sea"	"Q641148"
	"Rogalandsfeltet"	"10609184487"	"node"	"Utsira sør"		"sea"	
	"Brevikflua"	"10911400069"	"node"			"sea"	
	"Klatten"	"10911400070"	"node"			"sea"	
	"Bælt"	"11176927520"	"node"			"sea"	
	"Inner Seas off the West Coast of Scotland"	"11177193713"	"node"	"Inner Seas"		"sea"	"Q5762423"
	"Luzon Sea"	"11246825277"	"node"			"sea"	
	"五島灘"	"11370934400"	"node"			"sea"	"Q11372327"
	"The Red Sea"	"11511151629"	"node"			"sea"	
	"Sanden"	"1011082290"	"way"			"sea"	
	"Southeastern Limit of Labrador Sea"	"1018455932"	"way"			"sea"	
	"斎灘"	"9431466"	"relation"			"sea"	"Q11500419"
	"安芸灘"	"9431499"	"relation"			"sea"	"Q4302577"
	"Gulf of Thailand"	"9443847"	"relation"			"sea"	"Q131217"
	"Тендрівська затока"	"9512025"	"relation"			"sea"	"Q2392966"
	"Охотское море"	"9621450"	"relation"			"sea"	"Q41602"
	"Pinochet Strait"	"11188042"	"relation"			"sea"	"Q2783226"
	"海州湾"	"11570199"	"relation"			"sea"	"Q15939411"
	"Paso Oglander"	"12955746"	"relation"			"sea"	"Q5716459"
	"函館湾"	"13648005"	"relation"			"sea"	"Q11396019"
	"영흥만"	"13705847"	"relation"			"sea"	"Q27245429"
	"Lincoln Sea"	"13828096"	"relation"			"sea"	"Q243125"
	"Prince Gustaf Adolf Sea"	"13890487"	"relation"			"sea"	"Q2322479"
	"Bay of Bengal"	"17633773"	"relation"			"sea"	"Q38684"
