"name:ca"	"regio"	"comarca"	"osm_id"	"osm_type"	"name"	"wikipedia"	"wikidata"	"border_type"	"admin_level"	"ref:idescat"	"ref:ine"	"ref:INSEE"
"Conat"	"CatNord"	"Conflent"	"2828302"	"relation"	"Conat"	"fr:Conat"	"Q1093149"		"8"			"66054"
"Cornellà de Conflent"	"CatNord"	"Conflent"	"2862710"	"relation"	"Corneilla-de-Conflent"	"fr:Corneilla-de-Conflent"	"Q198509"		"8"			"66057"
"els Masos"	"CatNord"	"Conflent"	"54469"	"relation"	"Los Masos"	"fr:Los Masos"	"Q531252"		"8"			"66104"
"Escaró"	"CatNord"	"Conflent"	"2913461"	"relation"	"Escaro"	"fr:Escaro"	"Q578495"		"8"			"66068"
"Espirà de Conflent"	"CatNord"	"Conflent"	"2862615"	"relation"	"Espira-de-Conflent"	"fr:Espira-de-Conflent"	"Q190160"		"8"			"66070"
"Estoer"	"CatNord"	"Conflent"	"2865282"	"relation"	"Estoher"	"fr:Estoher"	"Q199805"		"8"			"66073"
"Eus"	"CatNord"	"Conflent"	"2820388"	"relation"	"Eus"	"fr:Eus"	"Q919415"		"8"			"66074"
"Fillols"	"CatNord"	"Conflent"	"2862762"	"relation"	"Fillols"	"fr:Fillols"	"Q1369389"		"8"			"66078"
"Finestret"	"CatNord"	"Conflent"	"2858774"	"relation"	"Finestret"	"fr:Finestret"	"Q727456"		"8"			"66079"
"Fontpedrosa"	"CatNord"	"Conflent"	"2854137"	"relation"	"Fontpédrouse"	"fr:Fontpédrouse"	"Q1093130"		"8"			"66080"
"Fullà"	"CatNord"	"Conflent"	"2875472"	"relation"	"Fuilla"	"fr:Fuilla"	"Q379442"		"8"			"66085"
"Glorianes"	"CatNord"	"Conflent"	"2862650"	"relation"	"Glorianes"	"fr:Glorianes"	"Q597816"		"8"			"66086"
"Jóc"	"CatNord"	"Conflent"	"2858743"	"relation"	"Joch"	"fr:Joch"	"Q752284"		"8"			"66089"
"Jújols"	"CatNord"	"Conflent"	"2897517"	"relation"	"Jujols"	"fr:Jujols"	"Q1377402"		"8"			"66090"
"la Cabanassa"	"CatNord"	"Conflent"	"2853759"	"relation"	"La Cabanasse"	"fr:La Cabanasse"	"Q190144"		"8"			"66027"
"la Llaguna"	"CatNord"	"Conflent"	"2853900"	"relation"	"La Llagonne"	"fr:La Llagonne"	"Q1163153"		"8"			"66098"
"Marqueixanes"	"CatNord"	"Conflent"	"1920120"	"relation"	"Marquixanes"	"fr:Marquixanes"	"Q199734"		"8"			"66103"
"Mentet"	"CatNord"	"Conflent"	"2913805"	"relation"	"Mantet"	"fr:Mantet"	"Q1369164"		"8"			"66102"
"Molig"	"CatNord"	"Conflent"	"2820751"	"relation"	"Molitg-les-Bains"	"fr:Molitg-les-Bains"	"Q752153"		"8"			"66109"
"Montlluís"	"CatNord"	"Conflent"	"22531"	"relation"	"Mont-Louis"	"fr:Mont-Louis (Pyrénées-Orientales)"	"Q622422"		"8"			"66117"
"Mosset"	"CatNord"	"Conflent"	"2827098"	"relation"	"Mosset"	"fr:Mosset"	"Q190171"		"8"			"66119"
"Noedes"	"CatNord"	"Conflent"	"2875269"	"relation"	"Nohèdes"	"fr:Nohèdes"	"Q1369671"		"8"			"66122"
"Nyer"	"CatNord"	"Conflent"	"2913808"	"relation"	"Nyer"	"fr:Nyer"	"Q1369638"		"8"			"66123"
"Oleta i Èvol"	"CatNord"	"Conflent"	"2912388"	"relation"	"Olette"	"fr:Olette"	"Q752260"		"8"			"66125"
"Orbanyà"	"CatNord"	"Conflent"	"2828560"	"relation"	"Urbanya"	"fr:Urbanya"	"Q175206"		"8"			"66219"
"Orellà"	"CatNord"	"Conflent"	"2912375"	"relation"	"Oreilla"	"fr:Oreilla"	"Q1369645"		"8"			"66128"
"Pi de Conflent"	"CatNord"	"Conflent"	"2913745"	"relation"	"Py"	"fr:Py (Pyrénées-Orientales)"	"Q178846"		"8"			"66155"
"Planès"	"CatNord"	"Conflent"	"2853831"	"relation"	"Planès"	"fr:Planès"	"Q524705"		"8"			"66142"
"Prada"	"CatNord"	"Conflent"	"20224"	"relation"	"Prades"	"fr:Prades (Pyrénées-Orientales)"	"Q212450"		"8"			"66149"
"Ralleu"	"CatNord"	"Conflent"	"2912280"	"relation"	"Railleu"	"fr:Railleu"	"Q190092"		"8"			"66157"
"Rià i Cirac"	"CatNord"	"Conflent"	"2827311"	"relation"	"Ria-Sirach"	"fr:Ria-Sirach"	"Q752117"		"8"			"66161"
"Rigardà"	"CatNord"	"Conflent"	"2858704"	"relation"	"Rigarda"	"fr:Rigarda"	"Q1350716"		"8"			"66162"
"Rodés"	"CatNord"	"Conflent"	"1919494"	"relation"	"Rodès"	"fr:Rodès"	"Q199706"		"8"			"66165"
"Sançà"	"CatNord"	"Conflent"	"2897645"	"relation"	"Sansa"	"fr:Sansa"	"Q1350465"		"8"			"66191"
"Sant Pere dels Forcats"	"CatNord"	"Conflent"	"2853657"	"relation"	"Saint-Pierre-dels-Forcats"	"fr:Saint-Pierre-dels-Forcats"	"Q190480"		"8"			"66188"
"Saorra"	"CatNord"	"Conflent"	"2913485"	"relation"	"Sahorre"	"fr:Sahorre"	"Q1350593"		"8"			"66166"
"Sautó"	"CatNord"	"Conflent"	"2854010"	"relation"	"Sauto"	"fr:Sauto"	"Q1445541"		"8"			"66192"
"Serdinyà"	"CatNord"	"Conflent"	"2897486"	"relation"	"Serdinya"	"fr:Serdinya"	"Q943165"		"8"			"66193"
"Soanyes"	"CatNord"	"Conflent"	"2913446"	"relation"	"Souanyas"	"fr:Souanyas"	"Q190268"		"8"			"66197"
"Tarerac"	"CatNord"	"Conflent"	"2816871"	"relation"	"Tarerach"	"fr:Tarerach"	"Q1350733"		"8"			"66201"
"Taurinyà"	"CatNord"	"Conflent"	"2863980"	"relation"	"Taurinya"	"fr:Taurinya"	"Q198056"		"8"			"66204"
"Toès i Entrevalls"	"CatNord"	"Conflent"	"2913659"	"relation"	"Thuès-Entre-Valls"	"fr:Thuès-Entre-Valls"	"Q1350627"		"8"			"66209"
"Vallestàvia"	"CatNord"	"Conflent"	"2868083"	"relation"	"Baillestavy"	"fr:Baillestavy"	"Q1047022"		"8"			"66013"
"Vallmanya"	"CatNord"	"Conflent"	"2919019"	"relation"	"Valmanya"	"fr:Valmanya"	"Q1093084"		"8"			"66221"
"Vernet"	"CatNord"	"Conflent"	"1209766"	"relation"	"Vernet-les-Bains"	"fr:Vernet-les-Bains"	"Q190011"		"8"			"66222"
"Vilafranca de Conflent"	"CatNord"	"Conflent"	"392223"	"relation"	"Villefranche-de-Conflent"	"fr:Villefranche-de-Conflent"	"Q501114"		"8"			"66223"
"Vinçà"	"CatNord"	"Conflent"	"74310"	"relation"	"Vinça"	"fr:Vinça"	"Q1113972"		"8"			"66230"
"Ansinyà"	"CatNord"	"Fenolledès"	"21627"	"relation"	"Ansignan"	"fr:Ansignan"	"Q569872"		"8"			"66006"
"Bellestar"	"CatNord"	"Fenolledès"	"1239462"	"relation"	"Bélesta"	"fr:Bélesta (Pyrénées-Orientales)"	"Q1110211"		"8"			"66019"
"Campossí"	"CatNord"	"Fenolledès"	"2818795"	"relation"	"Campoussy"	"fr:Campoussy"	"Q190098"		"8"			"66035"
"Caramany"	"CatNord"	"Fenolledès"	"21638"	"relation"	"Caramany"	"fr:Caramany"	"Q379058"		"8"			"66039"
"Cassanyes"	"CatNord"	"Fenolledès"	"1239463"	"relation"	"Cassagnes"	"fr:Cassagnes (Pyrénées-Orientales)"	"Q1093110"		"8"			"66042"
"Caudiers de Fenollet"	"CatNord"	"Fenolledès"	"22319"	"relation"	"Caudiès-de-Fenouillèdes"	"fr:Caudiès-de-Fenouillèdes"	"Q671031"		"8"			"66046"
"Centernac"	"CatNord"	"Fenolledès"	"22218"	"relation"	"Saint-Arnac"	"fr:Saint-Arnac"	"Q189995"		"8"			"66169"
"El Viver"	"CatNord"	"Fenolledès"	"2816579"	"relation"	"Le Vivier"	"fr:Le Vivier"	"Q968816"		"8"			"66234"
"Felluns"	"CatNord"	"Fenolledès"	"2816521"	"relation"	"Feilluns"	"fr:Feilluns"	"Q1445576"		"8"			"66076"
