"name:ca"	"regio"	"comarca"	"municipi"	"osm_type"	"osm_id"	"name"	"wikidata"	"wikipedia"	"place"	"capital"	"admin_level"	"ref:idescat"	"ref:ine"	"ref:INSEE"
"Llonat"	"CatNord"	"Conflent"	"els Masos"	"node"	"315515921"	"Llonat"	"Q11933504"	"ca:Llonat"	"village"	"8"				
"Escaró"	"CatNord"	"Conflent"	"Escaró"	"node"	"279838664"	"Escaro"	"Q578495"	"ca:Escaró"	"village"	"8"				
"Espirà de Conflent"	"CatNord"	"Conflent"	"Espirà de Conflent"	"node"	"340251686"	"Espira-de-Conflent"	"Q190160"	"ca:Espirà de Conflent"	"village"	"8"				
"Estoer"	"CatNord"	"Conflent"	"Estoer"	"node"	"247404479"	"Estoher"	"Q199805"	"ca:Estoer"	"village"	"8"				
"Eus"	"CatNord"	"Conflent"	"Eus"	"node"	"279096314"	"Eus"	"Q919415"	"ca:Eus"	"village"	"8"				
"Fillols"	"CatNord"	"Conflent"	"Fillols"	"node"	"206329277"	"Fillols"	"Q1369389"	"ca:Fillols"	"village"	"8"				
"Finestret"	"CatNord"	"Conflent"	"Finestret"	"node"	"313750502"	"Finestret"	"Q727456"	"ca:Finestret"	"village"	"8"				
"Fontpedrosa"	"CatNord"	"Conflent"	"Fontpedrosa"	"node"	"153439123"	"Fontpédrouse"	"Q1093130"	"fr:Fontpédrouse"	"village"	"8"				
"Fullà"	"CatNord"	"Conflent"	"Fullà"	"node"	"313751189"	"Fuilla"	"Q379442"	"ca:Fullà"	"village"	"8"				
"Glorianes"	"CatNord"	"Conflent"	"Glorianes"	"node"	"313751585"	"Glorianes"	"Q597816"	"ca:Glorianes"	"village"	"8"				
"Jóc"	"CatNord"	"Conflent"	"Jóc"	"node"	"313752211"	"Joch"	"Q752284"	"ca:Jóc"	"village"	"8"				
"Jújols"	"CatNord"	"Conflent"	"Jújols"	"node"	"205240133"	"Jujols"	"Q1377402"	"ca:Jújols"	"village"	"8"				
"la Cabanassa"	"CatNord"	"Conflent"	"la Cabanassa"	"node"	"153413914"	"La Cabanasse"	"Q190144"	"ca:La Cabanassa"	"village"	"8"				
"la Llaguna"	"CatNord"	"Conflent"	"la Llaguna"	"node"	"313752418"	"La Llagonne"	"Q1163153"	"ca:La Llaguna"	"village"	"8"				
"Marqueixanes"	"CatNord"	"Conflent"	"Marqueixanes"	"node"	"40017547"	"Marquixanes"	"Q199734"	"fr:Marquixanes"	"village"	"8"				
"Mentet"	"CatNord"	"Conflent"	"Mentet"	"node"	"313754930"	"Mantet"	"Q1369164"	"ca:Mentet"	"village"	"8"				
"Molig"	"CatNord"	"Conflent"	"Molig"	"node"	"218637577"	"Molitg-les-Bains"	"Q752153"	"ca:Molig"	"village"	"8"				
"Montlluís"	"CatNord"	"Conflent"	"Montlluís"	"node"	"281197952"	"Mont-Louis"	"Q622422"	"ca:Montlluís"	"village"	"8"				
"Mosset"	"CatNord"	"Conflent"	"Mosset"	"node"	"218637575"	"Mosset"	"Q190171"	"ca:Mosset"	"village"	"8"				
"Noedes"	"CatNord"	"Conflent"	"Noedes"	"node"	"38900768"	"Nohèdes"	"Q1369671"	"ca:Noedes"	"village"	"8"				
"Nyer"	"CatNord"	"Conflent"	"Nyer"	"node"	"277402192"	"Nyer"	"Q1369638"	"ca:Nyer"	"village"	"8"				
"Oleta"	"CatNord"	"Conflent"	"Oleta i Èvol"	"node"	"35447964"	"Olette"	"Q52128768"	"ca:Oleta"	"village"	"8"				
"Orbanyà"	"CatNord"	"Conflent"	"Orbanyà"	"node"	"278773159"	"Urbanya"	"Q175206"	"ca:Orbanyà"	"village"	"8"				
"Orellà"	"CatNord"	"Conflent"	"Orellà"	"node"	"313759099"	"Oreilla"	"Q1369645"	"ca:Orellà"	"village"	"8"				
"Pi"	"CatNord"	"Conflent"	"Pi de Conflent"	"node"	"313754931"	"Py"	"Q178846"	"ca:Pi de Conflent"	"village"	"8"				
"Planès"	"CatNord"	"Conflent"	"Planès"	"node"	"153407142"	"Planès"	"Q524705"	"ca:Planès"	"village"	"8"				
"Prada"	"CatNord"	"Conflent"	"Prada"	"node"	"26695245"	"Prades"	"Q212450"	"fr:Prades (Pyrénées-Orientales)"	"village"	"7"				
"Ralleu"	"CatNord"	"Conflent"	"Ralleu"	"node"	"297814447"	"Railleu"	"Q190092"	"ca:Ralleu"	"village"	"8"				
"Rià"	"CatNord"	"Conflent"	"Rià i Cirac"	"node"	"206333273"	"Ria"	"Q50405539"	"ca:Rià (Conflent)"	"village"	"8"				
"Rigardà"	"CatNord"	"Conflent"	"Rigardà"	"node"	"313779143"	"Rigarda"	"Q1350716"	"ca:Rigardà"	"village"	"8"				
"Rodés"	"CatNord"	"Conflent"	"Rodés"	"node"	"158580528"	"Rodès"	"Q199706"	"ca:Rodès"	"village"	"8"				
"Sançà"	"CatNord"	"Conflent"	"Sançà"	"node"	"313784942"	"Sansa"	"Q1350465"	"ca:Censà"	"village"	"8"				
"Sant Pere dels Forcats"	"CatNord"	"Conflent"	"Sant Pere dels Forcats"	"node"	"353781696"	"Saint-Pierre-dels-Forcats"	"Q190480"	"ca:Sant Pere dels Forcats"	"village"	"8"				
"Saorra"	"CatNord"	"Conflent"	"Saorra"	"node"	"38900956"	"Sahorre"	"Q1350593"	"ca:Saorra"	"village"	"8"				
"Sautó"	"CatNord"	"Conflent"	"Sautó"	"node"	"353779881"	"Sauto"	"Q1445541"	"ca:Sautó"	"village"	"8"				
"Serdinyà"	"CatNord"	"Conflent"	"Serdinyà"	"node"	"206333179"	"Serdinya"	"Q943165"	"ca:Serdinyà"	"village"	"8"				
"Soanyes"	"CatNord"	"Conflent"	"Soanyes"	"node"	"277402077"	"Souanyas"	"Q190268"	"ca:Soanyes"	"village"	"8"				
"Tarerac"	"CatNord"	"Conflent"	"Tarerac"	"node"	"279181168"	"Tarerach"	"Q1350733"	"ca:Tarerac"	"village"	"8"				
"Taurinyà"	"CatNord"	"Conflent"	"Taurinyà"	"node"	"38900955"	"Taurinya"	"Q198056"	"ca:Taurinyà"	"village"	"8"				
"Toès"	"CatNord"	"Conflent"	"Toès i Entrevalls"	"node"	"153436118"	"Thuès-Entre-Valls"	"Q1350627"	"ca:Toès i Entrevalls"	"village"	"8"				
"Vallestàvia"	"CatNord"	"Conflent"	"Vallestàvia"	"node"	"287550238"	"Baillestavy"	"Q1047022"	"ca:Vallestàvia"	"village"	"8"				
"Vallmanya"	"CatNord"	"Conflent"	"Vallmanya"	"node"	"313801428"	"Valmanya"	"Q1093084"	"ca:Vallmanya"	"village"	"8"				
"Vernet"	"CatNord"	"Conflent"	"Vernet"	"node"	"38900957"	"Vernet-les-Bains"	"Q190011"	"ca:Vernet"	"village"	"8"				
"Vilafranca de Conflent"	"CatNord"	"Conflent"	"Vilafranca de Conflent"	"node"	"35447447"	"Villefranche-de-Conflent"	"Q501114"	"ca:Vilafranca de Conflent"	"village"	"8"				
"Vinçà"	"CatNord"	"Conflent"	"Vinçà"	"node"	"38900992"	"Vinça"	"Q1113972"	"ca:Vinçà"	"village"	"8"				
"Ansinyà"	"CatNord"	"Fenolledès"	"Ansinyà"	"node"	"279180239"	"Ansignan"			"village"					
"Bellestar"	"CatNord"	"Fenolledès"	"Bellestar"	"node"	"287552332"	"Bélesta"			"village"					
"Campossí"	"CatNord"	"Fenolledès"	"Campossí"	"node"	"287555079"	"Campoussy"			"village"					
"Caramany"	"CatNord"	"Fenolledès"	"Caramany"	"node"	"278989828"	"Caramany"			"village"					
"Cassanyes"	"CatNord"	"Fenolledès"	"Cassanyes"	"node"	"278990889"	"Cassagnes"			"village"					
"Caudiers de Fenollet"	"CatNord"	"Fenolledès"	"Caudiers de Fenollet"	"node"	"280958990"	"Caudiès-de-Fenouillèdes"			"village"					
"Centernac"	"CatNord"	"Fenolledès"	"Centernac"	"node"	"279183556"	"Saint-Arnac"			"village"					
"El Viver"	"CatNord"	"Fenolledès"	"El Viver"	"node"	"313803996"	"Le Vivier"			"village"					
"Felluns"	"CatNord"	"Fenolledès"	"Felluns"	"node"	"313750082"	"Feilluns"			"village"					
"Fenollet"	"CatNord"	"Fenolledès"	"Fenollet"	"node"	"280965579"	"Fenouillet"			"village"					
"les Cabanes"	"CatNord"	"Fenolledès"	"Fossa"	"node"	"5259863096"	"Les Cabanes"			"hamlet"					
"L'Esquerda"	"CatNord"	"Fenolledès"	"l'Esquerda"	"node"	"313753817"	"Lesquerde"			"village"					
"La Tor de França"	"CatNord"	"Fenolledès"	"la Tor de França"	"node"	"139441519"	"Latour-de-France"			"village"					
"Lançac"	"CatNord"	"Fenolledès"	"lançac"	"node"	"279638483"	"Lansac"			"village"					
"Maurí"	"CatNord"	"Fenolledès"	"Maurí"	"node"	"279184366"	"Maury"	"Q579141"	"fr:Maury (Pyrénées-Orientales)"	"village"					
"Montalbà del Castell"	"CatNord"	"Fenolledès"	"Montalban lo Castèl"	"node"	"278988068"	"Montalba-le-Château"			"village"					"66111"
"Pézillà de Conflent"	"CatNord"	"Fenolledès"	"Pesillà de Conflent"	"node"	"279179789"	"Pézilla-de-Conflent"			"village"					
"Planeses"	"CatNord"	"Fenolledès"	"Planeses"	"node"	"280685418"	"Planèzes"			"village"					
"Prats de Sornià"	"CatNord"	"Fenolledès"	"Prats de Sornià"	"node"	"1026872653"	"Prats-de-Sournia"			"village"					
